	author	comment
1804	Juan Camacho	Daddy's flown across the ocean Leaving just a memory A snapshot in the family album Daddy, what else did you leave for me? Daddy, what you leave behind for me? All in all it was just a brick in the wall All in all it was all just bricks in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall I don't need no arms around me I don't need no drugs to calm me I have seen the writing on the wall Don't think I need anything at all No, don't think I need anything at all All in all it was all just bricks in the wall All in all you were all just bricks in the wall Goodbye, cruel world I'm leaving you today Goodbye Goodbye Goodbye Goodbye, all you people There's nothing you can say To make me change my mind Goodbye
1805	Tiago Abreu	Novembro de 2021 tô aqui ouvindo essa música acompanhado de um belo vinho e minha esposa.❤️
1806	Go Lele Go	This song is one of the few songs which can really give me the thrills...
1807	gigirose6	The song has such a good beat
1808	P3dro Miguel guerreiro Macára	Isto é música de verdade..
1809	Susann Landes	Back then, as a teenager, I attended this concert-tour in Munich and - like today - had goosebumps ... thank you Pink Floyd for this great song!
1810	Wealthy Boy SS	Timeless, leave them kids alone!!! This is the hill I die on!! Not just for mine, but for all the innocent ones... 🙏 🤯🔫 😵😇
1811	Tadhg Donnelly	Absolutely amazing
1812	C. H. Dugmor	Podrán pasar milenios y esta canción seguirá siendo vanguardista. :D
1813	barney barney	From São Paulo Brasil, 👏😍❤️ thank you pink Floyd 2021,eu amo muito vocês desde quando tinha 13 anos.
1814	elvis yoen samaniego alberca	Esta canción me hizo ver el mundo diferente...
1815	simon	Day 155 listening to Pink floyd everyday for 1 year.
1816	SZR	All time favorite 😍
1817	Delima	Esse clipe é muito louco 😄
1818	Shootimblue	Such a great song and band
1819	cristina alves	Amo
1820	Steve Tucker	Pink Floyd will never go out of style. I saw them years ago om their reunion tour and it was awesome. Their stage show was incredible! !!
1821	Edu	Obra prima🍷
1822	Dariusz Budych	Muzyka i słowa OK dociera do słuchacza
1823	Anno Domini	Ok so I'm 17 right now, and the first time I saw this I was about 7 or 8. I started having nightmares about it every night. After a while I didn't even remember the video, all I remembered was the nightmares. And now, after years, I'm here to face my nightmare...
1824	Fernando Villalpando	En la secundaria conocí esta rola!!! 🤘
1825	Milly Krack	It is not the best of Pink Floyd, but...I can't stop watching this Video. So sad what happens right now:((
1826	Francesca Camilano	..... sempre attuale... splendida!!!!
1827	Laura Crous	pasan los años y no puedo dejar de escuchar este tema!
1828	DoveLove Kyson	I find it funny how all of us are listening to this this month or last month as if God's trying to tell us something. Also this relates to my childhood too.
1829	AboutTony	this song was played at my father's funeral
1830	Ahmad mustakim	Start listening this group since 68... Until The Final Cut Album( Roger Waters /Syd Barret ) and still haunting me till now.. Hahaha...
1831	ካ.ደ.መ. 🅉	"""A growing child shouldn't hate you, a dying elderly shouldn't curse you.""-Amharic saying"
1832	ᴀᴍᴛᴏ ᴋᴀᴇᴅᴇ ꨄ︎	alto rolon yo aqui con 10 años escuchando este rolon con mis awelitos uWu
1833	Donsole_bebs	i didn’t realise this was a real song. i just thought it was the theme song for the unlisted. on netflix. it’s actually a really good show btw
1834	simon	Day 152 listening to Pink floyd everyday for a year
1835	Serz Popesku	Any in 2021 still listening really good music?
1836	Francesco Bray	Capolavoro, piu' che attuale..
1837	Lee Jay	Great Pink Floyd~
1838	𝚗𝚒𝚡𝚡𝚢	I can't stop listening
1839	Данаил Рашев	ПИН ФЛОЙТ ВЕЛИКА БАНДА,ГРУПА И КАКТО И ДА СЕ КАЖЕ Е ВЕЛИКА..
1840	simon	Day 159 listening to Pink floyd everyday for 1 year.
1841	Loony Black	Eu vou colocar isso na minha formatura
1842	EDGE LORD	me studying while listening to this masterpiece
1843	Mariana Lazarevic	A visionary ! Heaping from the beginning but we are realizing now ! Better ever than never ! This is reality we live in !
1844	RIchard Hartzel	This is a crazy video!!! Puts the song in a different perspective.
1845	AT	This Muisic is a Masterpiece
1846	Swarnajit Mukherjee	I called it masterpiece but my brain saying this is another dimension music
1847	Kelly Foxx	I LOVE PINK FLOYD !!!!!!!!!!!!!!!!❤❤❤❤
1848	simon	Day 158 listening to Pink floyd everyday for 1 year.
1849	STEVEN ROGERS	Unlike other songs who have deep meaning behind them… This has a very powerful and clear meaning
1850	Mr.Scootini	the first time I heard this song my English teacher played it during class on what seemed like full volume. she still teaches til this day.
1851	simon	Day 154 listening to Pink floyd everyday for a year
1852	simon	Day 157 listening to Pink floyd everyday for 1 year.
1853	simon	Day 153 listening to Pink floyd everyday for a year.
1854	Ale ssia	ICONIC.
1855	G Scarpa	Legends
1856	Zaa o	Mano eu tinha muito medo desse clipe, meu pai botava e eu não assitia com medokakkakakak
1857	Ван Василь	Очень актуано на сегодня, и дальнейшее.
1858	олег ефремов	Напоминает нынешнее время.
1859	Christa Mccarthy	it took me a few years to REALLY look at this. given todays circumstances, P F were so right. sooo far ahead of the times. hope they intended this. peace.
1860	simon	Day 156 listening to Pink floyd everyday for 1 year
1861	Samuel Martins	Forever rock in roll👅
1862	Lmao	Lmao we need this on school graduations
1863	smileTOBY	I remember getting scared of this music video when i was younger
1864	João Macedo	ADOREI ESTA MÚSICA , É PELA LIBERDADE DAS CRIANÇAS , PARABÉNS , PINK FLOYD
1865	goingfreenow	"It's so sad. They told the kids ""You don't want your grandma to get the cough do you"". Yep putting that responsibility on a child."
1866	Connor	A group of kids and them masks should've been done on Halloween would've been a belter
1867	darryl ef	Does anyone else think the guy in the back on the thumbnail looks like a young David schwimmer?
1868	Apithape Horsuwane	...Classic...
1869	stephen kahui	Was always to stoned listen to this in the eighties now I get it!
1870	Ruben Galicia	Vivan los 80 tas. años maravillosos donde todo era inisencia.
1871	LAUV LAURON	THEY BROKE THE FUCKING LIBRARY 🔥
1872	Nickle Meche	You know what, I am a great brick in the wall and I am a happy brick in the wall and we bricks make a great wall and we bricks make a great pyramid and if you don't want to be a brick then turn into sand and let the wind direct you as a marionette.
1873	Patricia Navarrete valenzuela	MarVilloso
1874	Mônica Brandão	Epic!...
1875	Julie Robinson	"Imagine the people now who can say ""I was in this video..."""
1876	Tarderis2	I like that the teacher is foreshadowing the lyrics of Money
1877	Marco Maucione	❤️
1878	Euge Risc	"""Another Brick In The Wall (Part II)"" We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall [Chorus by pupils from the Fourth Form Music Class Islington Green School, London] We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teacher, leave us kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall"
1879	larry kelly	Ominous
1880	Misty Beauty	The music is so beautiful & lyrics are revolutionary but this video is deeply disturbing... Every single time I watch it... Which I'm sure was the desired result but damn...
1881	Sjage	Holy shite I never realised how powerful this song is.
1882	Stefani Ferreira	Essa musica lembra demais meu tio q gosta demais dela, ti Ze, Pink Floyd forever.
1883	Özgür Türköz	hep beraber , ögretmenler adam gibi ögretin, ne ögretmenler gördük biz, okulara bi gelek mi. #yeryüzü #world #welt #mundo
1884	Gato Dios del trueno	Esta cancion es un patrimonio de la musica
1885	richard Allport	"i always remember back in 1987, a teach told use all to stand still in silence in the playground. Mr Cotton was the teachers name he was shouting as us loudy, then for a brief silence between his breathes the whole school heard the workmen on the building site behind the school shout ""leave them kids alone Baldy"". Classic memory."
1886	raafa rangell	❤🇧🇷
1887	Данаил Рашев	ТОВА КОЕТО ВИЖДАТЕ СЕ СЛУЧВА С НАС И НАШИТЕ ДЕЦА ОСЪЗНАЙТЕ ГО.
1888	Nicolas Avila	muy weno :)
1889	José de Jesús Cardona García	HIMNO A LA PANDEMIA, EL AYER Y EL HOY ¿QUÉ SE MEJOR, VIVIR EN JAULA DE ORO O EN LIBERTAD CON TODOS LOS PROS Y CONTRAS QUE OFRECE LA NATURALEZA?
1890	Jagdeep Kaul	Some of this video strongly reminds me of that 1971 movie Soylvent Green which is actually set in the future year of 2022. 2022 is next year and anybody who has watched Soylent Green knows what we have in store for 2022 lmao
1891	Imperial Spy #7	Actually from the experience, I learned that school kills creativity because not everyone can be what they want to be, because we need people like construction workers, sewage pipes fixers, and other low paid hard working job in our world, and I know not a lot of people like that type of job, however without them the world will be in a bad state, and also not everybody can become a lawyer, businesses man, and an athlete
1892	АЛЕНКА. ЖИЗНЬ ПРЕКРАСНА	Super
1893	AnnSimonne	"Und sowas soll sich ,Erziehung"" nennen???Heutzutage machen Lehrer es nicht mit Prügel, jedoch mit seelischer Grausamkeit. Ich begreife es nicht. Es ist traurig. Ich kenne sowas.Danke Pink Floyd, dass Ihr diesen Song verbreitet habt bis heute. 💙💚💛🧡💜🖤❤💞💌💐🌸🍀🌳🍃"
1894	Денис Алфимов	Мощнейший трек, депрессивный, но при этом будоражащий
1895	Katja Brakenhoff	Let us be those kids.
1896	Anderson Pontes	Nao so vcs mas eu tambem brazil .....
1897	Ino Stiv	... W U N D E R S 🎻 C H O N 💖 🎻, das ist aine FINALE, aine grosse D R E A M S, dear, Merlene.. 💖
1898	Tammie Miller	Pink Floyd listening since I was a kid now 51 still love them
1899	Stephanie Crosby	And people thought “ The Simpson’s “ were the only ones predicting the future. Sooooo relevant NOW!
1900	Ventium Tactical	I know I’m going to be trashtalked: I’m 13 years old, I’m French so I don’t very understand the whole story (but I’m not that dumb), I’ve heard this song maybe 5 times in my entire life and now, I watched the video clip and I DONT UNDERSTAND WHY CHILDREN ARE KILLING THEMSELFS WITH A MASK ON THEIR FCKG FACE SOMEONE EXPLAIN ME PLZZZZ
1901	Jesus Santos	Alguém novembro de 2021? Obs: Dia dos finados...R.I.P
1902	Blue Rocker	This song is so ahead of its time but then again rooted in the past and present. An amazing protest song with a message that unfortunately has been completely ignored!
1903	Isaias Coronado	TEACHERS TREAT ME LIKE THAT IN 1986!!!😤😤😤
